id_celda,loc_name,nombre_lugar,nivel_riesgo,probabilidad_riesgo,indice_prioridad,accion_recomendada,num_reportes,num_cestas,tiene_macroruta
C08302,Santa Fe,Santa Fe • Barrio El Consuelo (Carrera 11 Este con Calle 1B 02),🔴 Alto,0.9,81.9,Inspección prioritaria por alta concentración,90.0,4.0,1
C08303,Santa Fe,Santa Fe • Barrio El Consuelo (Calle 2#8A - 09 Este),🔴 Alto,0.94,60.16,Inspección prioritaria por alta concentración,63.0,2.0,1
C08706,Santa Fe,Santa Fe • Barrio Sagrado Corazón (Carrera 3B # 33-40),🔴 Alto,0.87,55.68,Inspección prioritaria por alta concentración,63.0,6.0,1
C08431,Santa Fe,Santa Fe • Barrio El Consuelo (Diagonal 2B Carrera 11C Este),🔴 Alto,0.88,42.24,Evaluar instalación de infraestructura de cestas,47.0,0.0,1
C08705,Santa Fe,Santa Fe • Barrio Sagrado Corazón (Calle 32 # 2-15),🔴 Alto,0.85,40.8,Inspección prioritaria por alta concentración,47.0,8.0,1
C08576,Santa Fe,Santa Fe • Barrio Sagrado Corazón (Carrera 4A # 30A - 42),🔴 Alto,0.84,40.32,Inspección prioritaria por alta concentración,47.0,20.0,1
C07662,Santa Fe,Santa Fe • Barrio Sagrado Corazón (Carrera 9 con Calle 3A),🔴 Alto,0.94,7.52,Inspección prioritaria por alta concentración,7.0,8.0,1
C08305,Santa Fe,Santa Fe • Barrio El Rocio (Carrera 3 Este Norte 3A 06),🔴 Alto,0.99,6.93,Evaluar instalación de infraestructura de cestas,6.0,0.0,1
C07918,Santa Fe,Santa Fe • Barrio Las Cruces (Carrera 4 con Calle 2A 01),🔴 Alto,0.92,4.6000000000000005,Evaluar instalación de infraestructura de cestas,4.0,0.0,1
C08834,Santa Fe,Santa Fe • Barrio Sagrado Corazón (Carrera 2 # 32-98),🔴 Alto,1.0,4.0,Inspección prioritaria por alta concentración,3.0,8.0,1
C07790,Santa Fe,Santa Fe • Barrio Las Cruces (Carrera 6 con Calle 2B 12),🔴 Alto,1.0,2.0,Inspección prioritaria por alta concentración,1.0,6.0,1
C03171,Kennedy,Kennedy • Carrera 90A con Calle 6 Bis,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C00444,Bosa,Bosa • Calle 78 Sur con Carrera 77G,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C02781,Kennedy,Kennedy • Calle 38 Sur entre Carrera 86A 89,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,23.0,1
C02878,Ciudad Bolívar,Ciudad Bolívar • Calle 74A Sur con Carrera 42,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,25.0,1
C00190,Bosa,Bosa • Diagonal 89B Sur con Transversal 80I,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,4.0,1
C09021,Suba,Suba • Carrera 58 con Calle 166,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,14.0,1
C09005,Suba,Suba • Carrera 51A con Calle 127C,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,32.0,1
C08748,Suba,Suba • Carrera 55 con Calle 128A,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,18.0,1
C03398,Ciudad Bolívar,Ciudad Bolívar • Calle 68 Sur con Carrera 48,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,51.0,1
C03424,Kennedy,Kennedy • Calle 5A Sur de Carrera 80A Carrera 81 con Carrera 81 de Calle 5A Sur a Calle 1,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C03707,Fontibón,Fontibón • Carrera 120 entre Calle 22J con 22L,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C02749,Ciudad Bolívar,Ciudad Bolívar • Calle 76S Sur con Carrera 40,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,8.0,1
C03517,Ciudad Bolívar,Ciudad Bolívar • Calle 69K Sur con Transversal 22,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C03794,Kennedy,Kennedy • Calle 49 Sur con Transversal 72D,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C03776,Ciudad Bolívar,Ciudad Bolívar • Diagonal 68C Sur con Transversal 18X,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C03833,Fontibón,Fontibón • Av. Ferrocarril entre Carrera 111A la Carrera 114,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,2.0,1
C02639,Kennedy,Kennedy • Carrera 77V Bis a con Calle 53 Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,18.0,1
C03956,Fontibón,Fontibón • Calle 16H con Carrera 99 Sentido Occidente - Oriente,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,13.0,1
C03778,Ciudad Bolívar,Ciudad Bolívar • Calle 68 Sur con Carrera 20,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,2.0,1
C02651,Kennedy,Kennedy • Av. Guayacanes entre Calle 40B Sur a Calle 40 Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,8.0,1
C02647,Kennedy,Kennedy • Av. Ciudad de Cali de Calle 42B Bis Sur a Calle 42F Bis - Costado Oriental,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,18.0,1
C04092,Fontibón,Fontibón • Calle 23 con Carrera 113,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,15.0,1
C00587,Bosa,Bosa • Calle 72 Sur con Carrera 105B,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,26.0,1
C08492,Suba,Suba • Carrera 58 entre 127 con 134,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,16.0,1
C04087,Fontibón,Fontibón • Calle 20 con Carrera 103A,🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C04424,Tunjuelito,Tunjuelito • Calle 59A Sur con Av. 19,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,4.0,1
C04167,Ciudad Bolívar,Ciudad Bolívar • Diagonal 62 Sur con Transversal 20D,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,34.0,1
C04184,Kennedy,Kennedy • Av. Boyacã entre Calle 40 Sur a Transversal 72D Separador Vial,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,31.0,1
C04349,Fontibón,Fontibón • Carrera 106A 107 entre Calle 23D a Calle 23G,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,2.0,1
C04466,Kennedy,Kennedy • Carrera 86 con Calle 16C (costado Oriental),🔴 Alto,1.0,1.0,Evaluar instalación de infraestructura de cestas,0.0,0.0,1
C04435,Tunjuelito,Tunjuelito • Calle 50B Sur con Carrera 37,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,1.0,1
C04423,Ciudad Bolívar,Ciudad Bolívar • Carrera 19 con Calle 60B Sur,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,6.0,1
C04551,Ciudad Bolívar,Ciudad Bolívar • Calle 60G Sur con Carrera 16C,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,22.0,1
C00840,Bosa,Bosa • Calle 72 Sur con Carrera 90,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,14.0,1
C00189,Bosa,Bosa • Calle 86 Sur con Carrera 78A,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,22.0,1
C11093,Usaquén,Usaquén • Carrera 4 (ambos Costados) con Calle 189B,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,2.0,1
C10822,Usaquén,Usaquén • Calle 161 con Carrera 8,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,22.0,1
C08209,Barrios Unidos,Barrios Unidos • Av. Calle 68 con Carrera 27C,🔴 Alto,1.0,1.0,Inspección prioritaria por alta concentración,0.0,14.0,1
